카테고리1,카테고리2,대표도시 국가,대표도시,판매가격,하나허브 마스터코드,마스터 상품코드,마스터 상품명
입장권/패스,전망대&스카이라운지,미국,뉴욕,185500,HEF409,MHJ-PRD421E9NNT9,[제이지투어] 원월드 전망대 티켓 
입장권/패스,전망대&스카이라운지,미국,뉴욕,185500,HEF409,MHJ-PRD421E9OV0E,[제이지투어] 탑오브더락 전망대 티켓 
페리,페리,미국,뉴욕,185500,HEF409,MHJ-PRD421E9RMYM,[제이지투어] 자유의 여신상 크루즈 티켓 / 미드타운 리버티 크루즈 
입장권/패스,전망대&스카이라운지,미국,뉴욕,185500,HEF409,MHJ-PRD421E9URSM,[제이지투어] 엠파이어 빌딩 전망대 티켓 
입장권/패스,박물관&미술관,미국,뉴욕,185500,HEF409,MHJ-PRD421E9ZGAH,[제이지투어] MERCER LABS 미술관 티켓 
입장권/패스,박물관&미술관,미국,뉴욕,185500,HEF409,MHJ-PRD421E9ZVBI,[제이지투어] 휘트니 미술관
트립,근교투어,미국,뉴욕,185500,HEF409,MHJ-PRD4BFB9MYC6,[제이지버스투어] 뉴욕출발! 나이아가라 1박 2일 - 캐나다 숙소/스카이론타워 레스토랑 포함 (수/일)
트립,근교투어,미국,뉴욕,185500,HEF409,MHJ-PRD4BFB9QXWU,[제이지버스투어] 필라델피아 & 워싱턴 D.C. 1박 2일 투어 (숙박포함/뉴욕출발)
입장권/패스,테마파크,영국,런던,250000,EGF101,MHJ-PRD337259YSR,[런던 해리포터 스튜디오] 입장권+왕복 기차권 
트립,근교투어,호주,시드니,20000,PAF104,MHJ-PRD0C494FZ9F,"[시드니][월,금출발] 올인원 포트스테판 투어 인기 4종 액티비티 모두 포함"
페리,보트&요트차터,호주,시드니,20000,PAF104,MHJ-PRD1FDDD6YL7,? [5/23?6/14] 2025 비비드 시드니 트와일라잇 디너 크루즈
입장권/패스,공연&축제,호주,시드니,20000,PAF104,MHJ-PRD1FDDDPOUK,? [5/23?6/14] 2025 비비드 시드니 클리어뷰 디너 크루즈 
페리,크루즈,호주,시드니,20000,PAF104,MHJ-PRD1FDDDV7J9,? [5/23?6/14] 2025 비비드 시드니 쇼보트 디너 크루즈
트립,에코(자연)투어 ,호주,시드니,20000,PAF104,MHJ-PRD1FF6AA3IW,시드니 [패밀리펀] 자연속 힐링타임 - 트리탑 어드벤처+캄슬리힐 농장
트립,근교투어,호주,시드니,20000,PAF104,MHJ-PRD22424LJC1,[스몰그룹] (어나더레벨) 블루마운틴 투어+캄스힐 농장 체험+숨은맛집
여행서비스,픽업서비스,호주,시드니,20000,PAF104,MHJ-PRD3F81B9MNR,"[호주] 단독 시드니 공항픽업+시티투어+근교투어 (본다이비치,갭파크,한인가이드)"
트립,근교투어,호주,시드니,20000,PAF102,MHJ-PRD0508E2CG9,[*찐* 와인투어] 헌터밸리 와이너리 힐링 감성 풀충전
트립,근교투어,호주,시드니,20000,PAF102,MHJ-PRD0508EA60L,[호주] 블루마운틴 + 찐 오픈런 페더데일동물원 일일투어
입장권/패스,"동물원,식물원&수족관",호주,시드니,20000,PAF102,MHJ-PRD0508EDDSY,호주 시드니 동물원 (Sydney Zoo) 입장권  #시드니 서부 최대 규모
트립,근교투어,호주,시드니,20000,PAF102,MHJ-PRD0508EEHKA,"[*찐* 소그룹] 시드니 남부 *찐* 힐링 여행, 울릉공·키아마·로얄내셔널파크"
트립,근교투어,호주,시드니,20000,PAF102,MHJ-PRD0508EGBHQ,[호주 시드니]  포트스테판 X 블루마운틴 + 페더데일동물원 찐 오픈런 콤보 2일 투어
트립,시내관광,호주,시드니,20000,PAF102,MHJ-PRD0508EL8UX,[호주 시드니] 시티 야경 투어 #현지 한인가이드
트립,근교투어,호주,시드니,20000,PAF102,MHJ-PRD0508EUFRX,호주의 수도 캔버라 일일투어 #현지 한인가이드 [시드니 시티 워킹투어 무료]
트립,근교투어,호주,시드니,20000,PAF102,MHJ-PRD0508EYVFK,[호주 시드니] 포트스테판 투어 (샌드보딩+돌핀크루즈/오크베일/와인시음/넬슨베이 해변)
페리,크루즈,호주,시드니,20000,PAF102,MHJ-PRD18B02YJKL,호주 시드니 쇼보트 디너 크루즈 (Showboat Dinner Cruise)
트립,아웃도어 액티비티,호주,시드니,20000,PAF102,MHJ-PRD1B212EQET,"[무료 픽업&드랍서비스] 자유낙하 픽톤 스카이다이빙 15,000ft (Sydney Skydivers)"
트립,에코(자연)투어 ,호주,시드니,20000,PAF102,MHJ-PRD1D794BXWF,[감성투어] 선셋 별보기 블루마운틴 (+ 동물원 옵션 선택 가능) & 시티워킹투어 무료혜택
트립,에코(자연)투어 ,호주,시드니,20000,PAF102,MHJ-PRD3AD1CHRTG,[특.별콤보] 포트스테판 X 선셋 별보기 블루마운틴 
여행서비스,픽업서비스,미국,뉴욕,185500,HWF401,MHJ-PRD02A46E8XC,"[뉴욕] 우드버리 아울렛 왕복 셔틀버스 (쿠폰북 제공,E-티켓)"
입장권/패스,공연&축제,미국,뉴욕,288,HWF401,MHJ-PRD09F765ANW,[미국] 뉴욕 브로드웨이 라이온킹 뮤지컬 티켓
입장권/패스,공연&축제,미국,뉴욕,288,HWF401,MHJ-PRD09F76A1HE,[미국] 뉴욕 브로드웨이 알라딘 뮤지컬 티켓 #1층 오케스트라석
입장권/패스,전망대&스카이라운지,미국,뉴욕,288,HWF401,MHJ-PRD2736EIHY0,[뉴욕] 써밋 SUMMIT 전망대 입장권 #E-티켓
여행서비스,픽업서비스,이탈리아,로마,47000,EIF501,MHJ-PRD2E710RWZX,[로마출도착} 치비타베키아항구 예약된 차량으로 어디든지 쉽고 빠르게 -24시간 한국어문의 가능
